Region,2019_inspection,2020_inspection,2021_inspection,2022_inspection,2023_inspection,2024_inspection,Infected_palm_2024,Treated_palm_2024,Infected_palm_2023,Treated_palm_2023
Riyadh region,23676495,27343962,22666615,20216071,18003193,13692800,26114,25535,31178,30691
Makkah region,462514,377742,510928,734061,982671,4905946,6083,6054,1175,1157
Madinah region,1606482,2203665,4494414,11544713,15475971,10618370,17873,15143,32190,33709
Qassim region,22196976,20218543,10311893,8533952,8665006,8159742,72332,45139,65772,58240
Eastern region,8593494,11178599,13915552,13038975,21656690,17998055,9008,9005,23046,22994
Asir region,320283,1352851,943885,1478484,619480,4754132,32264,30464,3084,3084
Tabuk region,797277,1040964,1657025,1786612,2577173,3126363,5890,5870,7333,7331
Hail region,1407718,1848656,1977590,2099070,3134877,8629721,22716,22571,18164,18011
Najran region,434579,782134,980002,1618589,2075407,1534933,5400,5057,8375,7876
Al Bahah region,5283,33952,79264,134275,120112,285555,254,254,4475,4464
Al-Jawf region,426709,637753,511214,942649,1118588,2341199,6503,5640,194921,187686
